<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,20100301,000000,77.0000000,80.6200000,76.7100000,80.2600000,300393303
SBER,D,20100302,000000,80.0700000,83.0900000,79.9100000,82.4400000,289848945
SBER,D,20100303,000000,82.4100000,83.6400000,80.9100000,82.9200000,251148010
SBER,D,20100304,000000,82.2500000,83.6000000,81.4000000,82.9500000,236190367
SBER,D,20100305,000000,83.5900000,87.4000000,83.4500000,87.2000000,291353816
SBER,D,20100309,000000,86.9800000,89.6500000,86.4000000,89.4100000,298059505
SBER,D,20100310,000000,89.1500000,90.1000000,87.0400000,87.1400000,243696376
SBER,D,20100311,000000,87.0100000,88.6700000,86.4400000,87.4100000,212772246
SBER,D,20100312,000000,88.0400000,89.7000000,87.6200000,89.1000000,205490388
SBER,D,20100315,000000,88.3000000,89.6300000,87.6300000,87.8200000,185407663
SBER,D,20100316,000000,88.4200000,89.3000000,87.7000000,89.0000000,183894998
SBER,D,20100317,000000,90.0000000,90.4700000,88.7600000,89.3500000,161150578
SBER,D,20100318,000000,89.0400000,90.9200000,88.3800000,89.7000000,277537003
SBER,D,20100319,000000,90.0700000,90.4800000,87.8200000,88.0400000,185913824
SBER,D,20100322,000000,87.5100000,87.6900000,85.8700000,86.3400000,173641847
SBER,D,20100323,000000,87.0300000,87.2000000,85.1100000,86.0300000,186587327
SBER,D,20100324,000000,86.4800000,87.3700000,84.7500000,86.9500000,225687473
SBER,D,20100325,000000,86.7300000,87.2900000,85.3000000,86.0000000,180920974
SBER,D,20100326,000000,86.0000000,86.4500000,84.4700000,84.6000000,151824666
SBER,D,20100329,000000,84.5000000,86.0500000,84.0500000,85.4600000,147336373
SBER,D,20100330,000000,85.8600000,86.6500000,84.3300000,85.1000000,160213070
SBER,D,20100331,000000,84.9000000,87.1000000,84.4500000,85.8000000,203764682
SBER,D,20100401,000000,86.4100000,88.0000000,86.1100000,87.8300000,155894270
SBER,D,20100402,000000,88.0000000,88.8600000,87.4300000,88.1800000,101089808
SBER,D,20100405,000000,88.5100000,88.8200000,87.6200000,88.6000000,98894297
SBER,D,20100406,000000,88.4800000,89.1400000,87.4500000,88.6000000,142654808
SBER,D,20100407,000000,88.6100000,88.9500000,86.3000000,86.3000000,147365015
SBER,D,20100408,000000,86.0000000,86.0000000,84.4000000,84.9400000,147019005
SBER,D,20100409,000000,85.4700000,87.8500000,85.1800000,86.8800000,149602473
SBER,D,20100412,000000,87.7500000,88.0000000,85.8400000,86.5400000,112180131
SBER,D,20100413,000000,85.8300000,88.2600000,85.6300000,87.2000000,163704467
SBER,D,20100414,000000,88.1100000,89.4800000,87.8800000,89.2000000,152849144
SBER,D,20100415,000000,89.7100000,90.2700000,88.6300000,89.3000000,121510651
SBER,D,20100416,000000,88.6700000,89.8900000,86.7500000,86.9900000,118428501
SBER,D,20100419,000000,85.6000000,85.8000000,82.8100000,85.2000000,179993628
SBER,D,20100420,000000,85.9600000,87.3700000,85.3600000,86.7000000,143002610
SBER,D,20100421,000000,87.2000000,88.0000000,84.9000000,85.5000000,145967242
SBER,D,20100422,000000,85.0100000,86.3500000,83.2400000,84.4500000,189780579
SBER,D,20100423,000000,84.9900000,86.0100000,83.4000000,84.4200000,172862874
SBER,D,20100426,000000,85.3800000,85.8400000,84.5200000,84.8100000,132830533
SBER,D,20100427,000000,84.3300000,84.3600000,82.3200000,82.9300000,148745066
SBER,D,20100428,000000,81.0000000,81.4300000,78.9200000,79.5300000,243595026
SBER,D,20100429,000000,80.1300000,81.1900000,79.4200000,80.9500000,155054059
SBER,D,20100430,000000,81.0100000,81.3800000,77.8200000,78.6000000,152047266
SBER,D,20100504,000000,79.1900000,80.0900000,75.4600000,75.8500000,223770374
SBER,D,20100505,000000,75.1700000,77.4400000,73.5000000,75.1700000,279983091
SBER,D,20100506,000000,74.7900000,76.9900000,73.5300000,73.8500000,288953286
SBER,D,20100507,000000,70.9600000,72.7000000,69.5100000,70.3500000,376102154
SBER,D,20100511,000000,73.6000000,75.1000000,71.1500000,75.0000000,302678172
SBER,D,20100512,000000,74.2900000,82.3000000,74.1000000,81.9300000,375175511
SBER,D,20100513,000000,82.6800000,84.7300000,79.4200000,80.8000000,395687867
SBER,D,20100514,000000,79.8100000,80.5500000,76.9200000,77.4300000,234354676
SBER,D,20100517,000000,75.3000000,77.4500000,74.8500000,76.0100000,322247824
SBER,D,20100518,000000,76.9900000,78.2800000,75.7000000,77.1200000,301167472
SBER,D,20100519,000000,75.4900000,75.8800000,73.4300000,73.6800000,262833253
SBER,D,20100520,000000,74.0100000,75.3000000,69.2300000,69.9000000,378181485
SBER,D,20100521,000000,70.5000000,71.7400000,67.1600000,69.3000000,448771102
SBER,D,20100524,000000,70.9900000,71.7100000,69.1300000,69.9600000,287536945
SBER,D,20100525,000000,67.3800000,67.6400000,63.8100000,64.3300000,313892852
SBER,D,20100526,000000,66.1700000,69.3900000,65.6000000,69.1200000,517011123
SBER,D,20100527,000000,69.3600000,71.7600000,68.1000000,70.6500000,411848429
SBER,D,20100528,000000,71.2100000,72.0700000,69.8000000,70.2000000,271518522
SBER,D,20100531,000000,70.2900000,71.4300000,69.9300000,71.0000000,111111543
SBER,D,20100601,000000,70.4300000,71.6000000,68.0800000,70.7000000,248943161
SBER,D,20100602,000000,69.5300000,71.2600000,68.9200000,70.9500000,310612661
