<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20100823,000000,159.2500000,159.9000000,157.1300000,159.1100000,32867393
GAZP,D,20100824,000000,157.8200000,158.3700000,155.4600000,156.6000000,34765491
GAZP,D,20100825,000000,156.6000000,158.3300000,154.7200000,155.6100000,36801051
GAZP,D,20100826,000000,157.4200000,158.8700000,156.8000000,158.7000000,40709007
GAZP,D,20100827,000000,157.9100000,159.1800000,156.5000000,158.5600000,36583836
GAZP,D,20100830,000000,159.9500000,160.4400000,158.6300000,159.0000000,31734434
GAZP,D,20100831,000000,157.5400000,159.2000000,155.9400000,159.1500000,37258355
GAZP,D,20100901,000000,159.6000000,162.7700000,158.0700000,161.7900000,48730998
GAZP,D,20100902,000000,161.7900000,163.5700000,161.5300000,162.8000000,42681209
GAZP,D,20100903,000000,162.9900000,164.6500000,161.1300000,163.0000000,49384015
GAZP,D,20100906,000000,164.1100000,164.9000000,162.8000000,162.9500000,29482822
GAZP,D,20100907,000000,162.4500000,162.4500000,160.7700000,161.5400000,27619419
GAZP,D,20100908,000000,160.8700000,164.2400000,160.7800000,164.1400000,42905640
GAZP,D,20100909,000000,163.7000000,167.3900000,163.2100000,165.5300000,54572142
GAZP,D,20100910,000000,165.3400000,166.3700000,163.8900000,164.4000000,33895923
GAZP,D,20100913,000000,166.2400000,166.9100000,164.8000000,165.0000000,39889463
GAZP,D,20100914,000000,164.5100000,164.7500000,162.4300000,163.0000000,47407661
GAZP,D,20100915,000000,162.9500000,164.1300000,161.6200000,163.8700000,43898286
GAZP,D,20100916,000000,163.0700000,163.7900000,162.5100000,163.1700000,29468668
GAZP,D,20100917,000000,164.6000000,165.3000000,162.0100000,162.1800000,37763011
GAZP,D,20100920,000000,162.4700000,163.4400000,161.9100000,163.1500000,27180422
GAZP,D,20100921,000000,163.3700000,164.9400000,162.4300000,163.1400000,34188179
GAZP,D,20100922,000000,162.9500000,163.4300000,160.7900000,160.8000000,41656544
GAZP,D,20100923,000000,161.0900000,161.6500000,158.5700000,159.2200000,43737115
GAZP,D,20100924,000000,158.7700000,158.7900000,157.3700000,157.9700000,48539248
GAZP,D,20100927,000000,159.4700000,159.8100000,157.1000000,157.5000000,44995047
GAZP,D,20100928,000000,157.0700000,157.7000000,155.7100000,156.8000000,41608656
